Year,State,TotalVotes,DemocratVotes,DemocratElectoralVotes,RepublicanVotes,RepublicanElectoralVotes
1976,Alabama,1182850,659170,9,504070,0
1980,Alabama,1341929,654192,9,636730,0
1984,Alabama,1441713,872849,9,551899,0
1988,Alabama,1378476,815576,9,549506,0
1992,Alabama,1688060,690080,0,804283,9
1996,Alabama,1534349,662165,0,769044,9
2000,Alabama,1666272,941173,9,692611,0
2004,Alabama,1883449,1176394,9,693933,0
2008,Alabama,2099819,813479,0,1266546,9
2012,Alabama,2074338,795696,0,1255925,9
2016,Alabama,2123372,729547,0,1318255,9
2020,Alabama,2323282,849624,0,1441170,9
1976,Alaska,123574,44058,0,71555,3
1980,Alaska,158445,86112,3,41842,0
1984,Alaska,207605,138377,3,62007,0
1988,Alaska,200116,119251,3,72584,0
1992,Alaska,258506,78294,0,102000,3
1996,Alaska,241620,80380,0,122746,3
2000,Alaska,285560,167398,3,79004,0
2004,Alaska,312598,190889,3,111025,0
2008,Alaska,326197,123594,0,193841,3
2012,Alaska,300495,122640,0,164676,3
2016,Alaska,318608,116454,0,163387,3
2020,Alaska,359530,153778,0,189951,3
1976,Arizona,742719,295602,0,418642,6
1980,Arizona,873945,529688,6,246843,0
1984,Arizona,1025897,681416,7,333854,0
1988,Arizona,1171873,702541,7,454029,0
1992,Arizona,1486975,543050,0,572086,8
1996,Arizona,1404405,653288,8,622073,0
2000,Arizona,1532016,781652,8,685341,0
2004,Arizona,2012585,1104294,10,893524,0
2008,Arizona,2293475,1034707,0,1230111,10
2012,Arizona,2299254,1025232,0,1233654,11
2016,Arizona,2573165,1161167,0,1252401,11
2020,Arizona,3387326,1672143,11,1661686,0
1976,Arkansas,767535,498604,6,267903,0
1980,Arkansas,837582,403164,6,398041,0
1984,Arkansas,884406,534774,6,338646,0
1988,Arkansas,827738,466578,6,349237,0
1992,Arkansas,950653,505823,6,337324,0
1996,Arkansas,884262,475171,6,325416,0
2000,Arkansas,921781,472940,6,422768,0
2004,Arkansas,1054945,572898,6,469953,0
2008,Arkansas,1086617,422310,0,638017,6
2012,Arkansas,1069468,394409,0,647744,6
2016,Arkansas,1130635,380494,0,684872,6
2020,Arkansas,1219069,423932,0,760647,6
1976,California,7867117,3742284,0,3882244,45
1980,California,8587063,4524858,45,3083661,0
1984,California,9505423,5467009,47,3922519,0
1988,California,9887065,5054917,47,4702233,0
1992,California,11131721,5121325,54,3630574,0
1996,California,10019484,5119835,54,3828380,0
2000,California,10965856,4567429,0,5861203,54
2004,California,12421852,5509826,0,6745485,55
2008,California,13561900,8274473,55,5011781,0
2012,California,13038547,7854285,55,4839958,0
2016,California,14181595,8753788,55,4483810,0
2020,California,17500881,11110250,55,6006429,0
1976,Colorado,1081554,460353,0,584367,7
1980,Colorado,1184415,652264,7,367973,0
1984,Colorado,1295380,821817,8,454975,0
1988,Colorado,1372394,728177,8,621453,0
1992,Colorado,1569180,629681,8,562850,0
1996,Colorado,1510704,671152,0,691848,8
2000,Colorado,1741368,883748,8,738227,0
2004,Colorado,2130330,1101255,9,1001732,0
2008,Colorado,2401361,1288576,9,1073589,0
2012,Colorado,2569520,1323101,9,1185243,0
2016,Colorado,2780220,1338870,9,1202484,0
2020,Colorado,3256952,1804352,9,1364607,0
1976,Connecticut,1381526,647895,0,719261,8
1980,Connecticut,1406285,677210,8,541732,0
1984,Connecticut,1466900,890877,8,569597,0
1988,Connecticut,1443394,750241,8,676584,0
1992,Connecticut,1616332,682318,8,578313,0
1996,Connecticut,1392614,735740,8,483109,0
2000,Connecticut,1459525,561094,0,816015,8
2004,Connecticut,1578769,693826,0,857488,7
2008,Connecticut,1646792,997772,7,629428,0
2012,Connecticut,1558960,905083,7,634892,0
2016,Connecticut,1644920,897572,7,673215,0
2020,Connecticut,1824280,1080680,7,715291,0
1976,Delaware,235834,122596,3,109831,0
1980,Delaware,235900,111252,3,105754,0
1984,Delaware,254572,152190,3,101656,0
1988,Delaware,249891,139639,3,108647,0
1992,Delaware,289735,126054,3,102313,0
1996,Delaware,270845,140355,3,99062,0
2000,Delaware,327622,137288,0,180068,3
2004,Delaware,375190,171660,0,200152,3
2008,Delaware,412412,255459,3,152374,0
2012,Delaware,413921,242584,3,165484,0
2016,Delaware,441590,235603,3,185127,0
2020,Delaware,504010,296268,3,200603,0
1976,District of Columbia,168830,137818,3,27873,0
1980,District of Columbia,175237,23545,0,131113,3
1984,District of Columbia,211288,29009,0,180408,3
1988,District of Columbia,192877,27590,0,159407,3
1992,District of Columbia,227572,192619,3,20698,0
1996,District of Columbia,185726,158220,3,17339,0
2000,District of Columbia,201894,18073,0,171923,2
2004,District of Columbia,227586,21256,0,202970,3
2008,District of Columbia,265853,245800,3,17367,0
2012,District of Columbia,293764,267070,3,21381,0
2016,District of Columbia,311268,282830,3,12723,0
2020,District of Columbia,344356,317323,3,18586,0
