Year,State,Income
1976,AK,12447
1980,AK,15507
1984,AK,19701
1988,AK,20420
1992,AK,24240
1996,AK,26953
2000,AK,32044
2004,AK,37016
2008,AK,47869
2012,AK,53729
2016,AK,56341
2020,AK,63502
1976,AL,5438
1980,AL,7957
1984,AL,10848
1988,AL,13807
1992,AL,17583
1996,AL,20630
2000,AL,24306
2004,AL,28434
2008,AL,33583
2012,AL,35992
2016,AL,39525
2020,AL,46479
1976,AR,5247
1980,AR,7597
1984,AR,10543
1988,AR,13022
1992,AR,16438
1996,AR,19458
2000,AR,22781
2004,AR,27059
2008,AR,32306
2012,AR,36533
2016,AR,40720
2020,AR,47235
1976,AZ,6309
1980,AZ,9671
1984,AZ,13060
1988,AZ,16044
1992,AZ,18309
1996,AZ,21737
2000,AZ,26388
2004,AZ,30221
2008,AZ,35748
2012,AZ,36272
2016,AZ,40618
2020,AZ,49648
1976,CA,7975
1980,CA,11945
1984,CA,15895
1988,CA,19605
1992,CA,22678
1996,CA,25912
2000,CA,33410
2004,CA,37070
2008,CA,43567
2012,CA,48154
2016,CA,56667
2020,CA,70192
1976,CO,7211
1980,CO,11019
1984,CO,15030
1988,CO,17643
1992,CO,21625
1996,CO,26336
2000,CO,34029
2004,CO,35819
2008,CO,42953
2012,CO,45586
2016,CO,52251
2020,CO,63776
1976,CT,7951
1980,CT,12365
1984,CT,17572
1988,CT,23738
1992,CT,28560
1996,CT,33191
2000,CT,43070
2004,CT,47238
2008,CT,60970
2012,CT,64300
2016,CT,69215
2020,CT,78609
1976,DC,9548
1980,DC,13235
1984,DC,17566
1988,DC,22698
1992,DC,29067
1996,DC,33872
2000,DC,43524
2004,DC,50088
2008,DC,60887
2012,DC,67655
2016,DC,76623
2020,DC,86567
1976,DE,7430
1980,DE,10809
1984,DE,14671
1988,DE,18925
1992,DE,22814
1996,DE,26227
2000,DE,33884
2004,DE,38974
2008,DE,40894
2012,DE,44121
2016,DE,48890
2020,DE,56097
1976,FL,6557
1980,FL,10145
1984,FL,13939
1988,FL,17601
1992,FL,20825
1996,FL,24500
2000,FL,29466
2004,FL,33778
2008,FL,39401
2012,FL,41475
2016,FL,46253
2020,FL,55675
1976,GA,5881
1980,GA,8602
1984,GA,12316
1988,GA,15959
1992,GA,19360
1996,GA,23475
2000,GA,28851
2004,GA,32034
2008,GA,35438
2012,GA,37507
2016,GA,43074
2020,GA,51780
1976,HI,8367
1980,HI,11867
1984,HI,15052
1988,HI,18964
1992,HI,24542
1996,HI,25665
2000,HI,29319
2004,HI,34277
2008,HI,41969
2012,HI,44121
2016,HI,50089
2020,HI,58655
1976,IA,6640
1980,IA,9607
1984,IA,12924
1988,IA,15446
1992,IA,19086
1996,IA,23209
2000,IA,27390
2004,IA,31704
2008,IA,38703
2012,IA,42953
2016,IA,46531
2020,IA,53478
1976,ID,6343
1980,ID,8856
1984,ID,11399
1988,ID,13966
1992,ID,17640
1996,ID,21058
2000,ID,25183
2004,ID,28317
2008,ID,32841
2012,ID,35201
2016,ID,40385
2020,ID,48759
1976,IL,7644
1980,IL,10950
1984,IL,14784
1988,IL,18669
1992,IL,22724
1996,IL,27066
